Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
The Social Network,2010,David Fincher,['Drama'],3,3.96,121,['USA'],English,['English'],2227662,258957,696530,"['Jesse Eisenberg', 'Andrew Garfield', 'Justin Timberlake', 'Armie Hammer', 'Max Minghella', 'Josh Pence', 'Brenda Song', 'Rashida Jones', 'John Getz', 'David Selby', 'Denise Grayson', 'Douglas Urbanski', 'Rooney Mara', 'Bryan Barter', 'Dustin Fitzsimons', 'Joseph Mazzello', 'Patrick Mapel', 'Toby Meuli', 'Alecia Svensen', 'Jami Owen', 'James Dastoli', 'Robert Dastoli', 'Scotty Crowe', 'Jayk Gallagher', 'Marcella Lentz-Pope', 'Trevor Wright', 'Barry Livingston', 'Marybeth Massett', 'Randy Evans', 'Carrie Armstrong', 'Henry Roosevelt', 'Pamela Roylance', 'Brian Palermo', 'Brett Leigh', 'Chris Gouchoe', 'Nicholas Tubbs', 'Kevin Chui', 'Richie Ferris', 'Burke Walton', 'Nguyen Anh Tuan', 'Inbal Amirav', 'Dane Nightingale', 'Stephen Fuller', 'John He', 'Nick Smoke', 'Cali Fredrichs', 'Shelby Young', 'Steve Sires', 'Melise', 'Victor Z. Isaac', 'Abhi Sinha', 'Mark Saul', 'Cedric Sanders', 'Dakota Johnson', 'Nancy Linari', 'Inger Tudor', 'Aaron Sorkin', 'Mariah Bonner', 'Kyle Fain', 'Christopher Khai', 'Emma Fitzpatrick', 'Jeffrey Thomas Border', 'Courtney Arndt', 'Felisha Terrell', 'Zoe De Toledo', 'Simon Barr', 'Alex Leigh', 'Phil Turnham', 'Richie Steele', 'Chris Friend', 'Tom Harvey', 'Alex Olijnyk', 'Ray Poulter', 'Bob Hewitt', 'Dave Lambourn', 'James Padmore', 'Sebastian Kouba', 'Charles Herbert', 'Robin Dowell', 'Nathan Hillyer', 'James Shanklin', 'Alex Reznik', 'John Hayden', 'Oliver Muirhead', 'Shane Adler', 'Amy Ferguson', 'Monique Edwards', 'Cayman Grant', 'Wallace Langham', 'Scott Lawrence', 'Peter Holden', 'Darin Cooper', 'Jared Hillman', 'Caitlin Gerard', 'Lacey Beeman', 'Cherilyn Wilson', 'Caleb Landry Jones', 'Franco Vega', 'Andrew Thacher', 'Adina Porter', 'Jeff Martineau', 'Noah Baron', 'Jesse Heiman', 'David Broyles', 'Mike Bash', 'Tony Calle', 'Cooper Conley-Currier', 'Elliott Ehlers', 'Brett A. Newton', 'Nathan Dean Snyder', 'Kristen Clement', 'Tatum Miranda', 'Chad Davis', 'Calvin Dean', 'Tony DeSean', 'Vincent Rivera', 'Jason Flemyng', 'Carlos Foglia', 'Bryan Forrest', 'Jessica Franz', 'Eli Jane', 'Sara Murphy', 'Kandis Mak', 'Eric La Barr', 'Naina Michaud', 'Riley Voelkel', 'Tia Robinson', 'Jeff Rosick', 'Alexandra Ruddy', 'Adrienne Rusk', 'Rebecca Tilney', 'Georgina Tolentino']","['Columbia Pictures', 'Relativity Media', 'Scott Rudin Productions', 'Michael De Luca Productions', 'Trigger Street Productions']",https://letterboxd.com//film/the-social-network/
Inception,2010,Christopher Nolan,"['Action', 'Adventure', 'Science Fiction']",4,4.18,148,"['UK', 'USA']",English,"['English', 'French', 'Japanese', 'Swahili']",3008147,342934,1217428,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe', 'Tom Hardy', 'Elliot Page', 'Dileep Rao', 'Cillian Murphy', 'Tom Berenger', 'Marion Cotillard', 'Pete Postlethwaite', 'Michael Caine', 'Lukas Haas', 'Talulah Riley', 'Tohoru Masamune', 'Taylor Geare', 'Claire Geare', 'Johnathan Geare', 'Yuji Okumoto', 'Earl Cameron', 'Ryan Hayward', 'Miranda Nolan', 'Russ Fega', 'Tim Kelleher', 'Coralie Dedykere', 'Silvie Laguna', 'Virgile Bramly', 'Nicolas Clerc', 'Jean-Michel Dagory', 'Marc Raducci', 'Tai-Li Lee', 'Magnus Nolan', 'Helena Cullinan', 'Mark Fleischmann', 'Shelley Lang', 'Adam Cole', 'Jack Murray', 'Kraig Thornber', 'Angela Nathenson', 'Natasha Beaumont', 'Carl Gilliard', 'Jill Maddrell', 'Alex Lombard', 'Nicole Pulliam', 'Peter Basham', 'Michael Gaston', 'Felix Scott', 'Andrew Pleavin', 'Lisa Reynolds', 'Jason Tendell', 'Jack Gilroy', 'Shannon Welles', 'Daniel Girondeaud']","['Legendary Pictures', 'Syncopy', 'Warner Bros. Pictures']",https://letterboxd.com//film/inception/
Despicable Me,2010,"Pierre Coffin, Chris Renaud","['Comedy', 'Animation', 'Family']",3,3.49,95,['USA'],English,['English'],1169440,53652,174700,"['Steve Carell', 'Miranda Cosgrove', 'Dana Gaier', 'Elsie Fisher', 'Jason Segel', 'Russell Brand', 'Julie Andrews', 'Will Arnett', 'Kristen Wiig', 'Pierre Coffin', 'Chris Renaud', 'Jemaine Clement', 'Jack McBrayer', 'Danny McBride', 'Mindy Kaling', 'Rob Huebel', 'Ken Daurio', 'Ken Jeong', 'Charles Bright', 'Katie Leigh', 'Ranjani Brow', 'Scott Menville', 'Holly Dorff', 'Edie Mirman', 'Jackie Gonneau', 'Al Rodrigo', 'Wendy Hoffmann', 'Jakob Roston', 'James Kyson', 'John Hans Tester', 'Tony Lee', 'Debi Mae West']","['Illumination', 'Universal Pictures']",https://letterboxd.com//film/despicable-me/
The Twilight Saga: Eclipse,2010,David Slade,"['Drama', 'Fantasy', 'Romance', 'Adventure']",3.5,2.52,124,['USA'],English,['English'],711702,50273,79606,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Bryce Dallas Howard', 'Dakota Fanning', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Jackson Rathbone', 'Kellan Lutz', 'Ashley Greene', 'Nikki Reed', 'Anna Kendrick', 'Michael Welch', 'Justin Chon', 'Christian Serratos', 'Xavier Samuel', 'Sarah Clarke', 'Gil Birmingham', 'Paul Jarrett', 'Iris Quinn', 'Kiowa Gordon', 'Tyson Houseman', 'Bronson Pelletier', 'Alex Meraz', 'Julia Jones', 'Tinsel Korey', 'Chaske Spencer', 'Alex Rice', 'Booboo Stewart', 'Peter Murphy', 'William Belleau', 'Justin Rain', 'Monique Ganderton', 'Byron Chief-Moon', 'Mariel Belanger', 'Jodelle Ferland', 'Dawn Chubai', 'Jack Huston', 'Ben Geldreich', 'Daniel Cudmore', 'Cameron Bright', 'Charlie Bewley', 'Leah Gibson', 'Kirsten Zien', 'Cainan Wiebe', 'Catalina Sandino Moreno']","['Summit Entertainment', 'Temple Hill Entertainment', 'Imprint Entertainment', 'Maverick Films', 'Sunswept Entertainment']",https://letterboxd.com//film/the-twilight-saga-eclipse/
Babies,2010,Thomas Balmès,['Documentary'],3.5,3.41,79,['France'],French,"['French', 'Japanese', 'Mongolian']",6834,1047,848,"['Hattie', 'Ponijao', 'Mari']",['StudioCanal'],https://letterboxd.com//film/babies/
Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas,"['Fantasy', 'Family', 'Music', 'Animation', 'Comedy']",3,2.11,88,['USA'],English,"['English', 'French']",264513,13753,15149,"['Zachary Levi', 'David Cross', 'Jason Lee', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Amy Poehler', 'Anna Faris', 'Christina Applegate', 'Wendie Malick', 'Anjelah Johnson-Reyes', 'Kathryn Joosten', 'Kevin G. Schmidt', 'Chris Warren', 'Bridgit Mendler', 'Aimee Carrero', 'Alexandra Shipp', 'Gregg Binkley', 'Jake Zyrus', 'Bernard White', 'Adele Jacques', 'Joy Osmanski', 'Archie Hahn', 'Lanny Joon', 'Brando Eaton', 'Michael Bruno', 'Andrew Lee Schmidt', 'Alexander Noyes', 'Jason Rosen', 'Ali Mikles', 'Eric Bauza', 'Sean Astin', 'Marty Dew', 'Richy Jackson', 'Mihran Kirakosian', 'Janelle Ginestra', 'Thomasina Gross', 'Rachele Brooke Smith', 'Ryan Conferido', ""Hokuto 'Hok' Konishi"", 'Ryan Feng', 'D-Trix', 'Brian Hirano', 'Steve Terada', 'Victor Kim', 'Brittany Anne Pirtle', 'Ross Bagdasarian, Jr.', 'Janice Karman', 'Steve Vining', 'Courtney Galiano', 'Gee Alexander', 'Mark Alkofer', 'Tallie Brinson', 'Ericka Clevenger', 'Sean Decker', 'Sarah Fontenot', 'Paul Gonzales', 'David Lautman', 'Casper Smart', ""Andrew 'Drew' Thompson""]","['Fox 2000 Pictures', 'Bagdasarian Productions', 'Regency Enterprises', '20th Century Fox', 'Dune Entertainment']",https://letterboxd.com//film/alvin-and-the-chipmunks-the-squeakquel/
Planet 51,2009,Jorge Blanco,"['Family', 'Adventure', 'Comedy', 'Science Fiction', 'Animation']",3,2.29,91,"['Spain', 'UK', 'USA']",English,"['English', 'Spanish']",119259,7368,6765,"['Dwayne Johnson', 'Seann William Scott', 'Jessica Biel', 'Justin Long', 'Gary Oldman', 'John Cleese', 'Alan Marriott', 'Freddie Benedict', 'Mathew Horne', 'James Corden', 'Lewis Macleod', 'Rupert Degas', 'Rebecca Front', 'Vincent Marzello', 'Emma Tate', 'Pete Atkin', 'Laurence Bouvard', 'Brian Bowles']","['Ilion Animation Studios', 'HandMade Films']",https://letterboxd.com//film/planet-51/
The Twilight Saga: New Moon,2009,Chris Weitz,"['Romance', 'Adventure', 'Drama', 'Fantasy']",3.5,2.53,131,['USA'],English,"['English', 'Italian']",797387,58911,99070,"['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Dakota Fanning', 'Michael Sheen', 'Ashley Greene', 'Rachelle Lefevre', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Jackson Rathbone', 'Kellan Lutz', 'Nikki Reed', 'Edi Gathegi', 'Graham Greene', 'Gil Birmingham', 'Anna Kendrick', 'Michael Welch', 'Justin Chon', 'Christian Serratos', 'Jamie Campbell Bower', 'Christina Jastrzembska', 'Russell Roberts', 'Christopher Heyerdahl', 'Curtis Caravaggio', 'Daniel Cudmore', 'Charlie Bewley', 'Chaske Spencer', 'Adrien Dorval', 'Michael Adamthwaite', 'Alexander Mendeluk', 'Hunter Jackson', 'Gavin Bristol', 'Sean McGrath', 'Tyson Houseman', 'Kiowa Gordon', 'Alex Meraz', 'Bronson Pelletier', 'Tinsel Korey', 'Corinna Russo', 'Maria Grazia Pompei', 'Roberto Marchetti', 'Alessandro Federico', 'Justine Wachsberger', 'Cameron Bright', 'Noot Seear']","['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Sunswept Entertainment']",https://letterboxd.com//film/the-twilight-saga-new-moon/
Cloudy with a Chance of Meatballs,2009,"Phil Lord, Christopher Miller","['Animation', 'Comedy', 'Family']",3,3.33,90,['USA'],English,['English'],786544,41361,108034,"['Bill Hader', 'Anna Faris', 'James Caan', 'Neil Patrick Harris', 'Andy Samberg', 'Mr. T', 'Bruce Campbell', 'Khamani Griffin', 'Benjamin Bratt', 'Bridget Hoffman', 'Al Roker', 'Lauren Graham', 'Will Forte', 'Angela Shelton', 'Peter Siragusa', 'Neil Flynn', 'Liz Cackowski', 'Isabella Acres', 'Lori Alan', 'Shane Baumel', ""Bobb'e J. Thompson"", 'Bob Bergen', 'Cody Cameron', 'Marsha Clark', 'John Cygan', 'Ann Dominic', 'Paul Eiding', 'Jess Harnell', 'Gary A. Hecker', 'Phil Lord', 'Sherry Lynn', 'Danny Mann', 'Mona Marshall', 'Mickie McGowan', 'Christopher Miller', 'Laraine Newman', 'Jan Rabson', 'Grace Rolek', 'Jeremy Shada', 'Will Shadley', 'Melissa Sturm', 'Ariel Winter', 'Alex Goude', 'Max Neuwirth']","['Sony Pictures Animation', 'Columbia Pictures']",https://letterboxd.com//film/cloudy-with-a-chance-of-meatballs/
Harry Potter and the Half-Blood Prince,2009,David Yates,"['Adventure', 'Fantasy']",4,3.65,153,"['UK', 'USA']",English,['English'],1744959,128612,359567,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Jim Broadbent', 'Michael Gambon', 'Tom Felton', 'Alan Rickman', 'Bonnie Wright', 'Jessie Cave', 'Evanna Lynch', 'Freddie Stroma', 'Robbie Coltrane', 'Helena Bonham Carter', 'Maggie Smith', 'Timothy Spall', 'David Thewlis', 'Julie Walters', 'David Bradley', 'Warwick Davis', 'Gemma Jones', 'Helen McCrory', 'Natalia Tena', 'Mark Williams', 'Dave Legeno', 'Elarica Johnson', 'Geraldine Somerville', 'Oliver Phelps', 'James Phelps', 'Alfred Enoch', 'Robert Knox', 'Amber Evans', 'Ruby Evans', 'Louis Cordice', 'Scarlett Hefner', 'Jamie Waylett', 'Josh Herdman', 'Matthew Lewis', 'William Melling', 'Anna Shaffer', 'Devon Murray', 'Georgina Leonidas', 'Isabella Laughland', 'Afshan Azad', 'Shefali Chowdhury', 'Amelda Brown', 'Hero Fiennes Tiffin', 'Jack Pryor', 'Mark Lockyer', 'Paul Ritter', 'Frank Dillane', 'Joerg Stadler', 'Caroline Wildi', 'Ralph Ineson', 'Suzie Toase', 'Rod Hunt', 'Katie Leung', 'Nathan Clarke', 'Olivia Jewson', 'Freddie Rose']","['Warner Bros. Pictures', 'Heyday Films']",https://letterboxd.com//film/harry-potter-and-the-half-blood-prince/
Ice Age: Dawn of the Dinosaurs,2009,Carlos Saldanha,"['Comedy', 'Adventure', 'Family', 'Animation']",4,3.04,94,['USA'],English,['English'],497796,27093,45829,"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Simon Pegg', 'Seann William Scott', 'Josh Peck', 'Chris Wedge', 'Karen Disher', 'Kristen Wiig', 'Eunice Cho', 'Harrison Fahn', 'Maile Flanagan', 'Jason Fricchione', 'Bill Hader', 'Kelly Keaton', 'Joey King', 'Lucas Leguizamo', 'Jane Lynch', 'Regan Mizrahi', 'Clea Lewis', 'Allegra Leguizamo', 'Carlos Saldanha', 'Claudia Besso', 'Bea Miller', 'Christian Pikes', 'Avery Christopher Plum', 'Joe Romano', 'Manoela Scarpa Saldanha', 'Sofia Scarpa Saldanha', 'Cindy Slattery', 'Matt Adler', 'Steve Alterman', 'Anthony Amorim', 'Holly Dorff', 'Nicole Ehinger', 'David H. Kramer', 'Selenis Leyva', 'Matt McCarthy', 'David McCharen', 'Tim Nordquist', 'Devika Parikh', 'Alexandra Pisacane', 'Jake Schwencke', 'Amanda Scott', 'Johnathan Tchaikovsky', 'Pamala Tyson', 'June Christopher', 'Frank Welker']","['Blue Sky Studios', '20th Century Fox Animation']",https://letterboxd.com//film/ice-age-dawn-of-the-dinosaurs/
The Hangover,2009,Todd Phillips,['Comedy'],4,3.56,100,"['Germany', 'USA']",English,['English'],1319097,77298,261192,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Justin Bartha', 'Heather Graham', 'Sasha Barrese', 'Jeffrey Tambor', 'Ken Jeong', 'Rachael Harris', 'Mike Tyson', 'Mike Epps', 'Jernard Burks', 'Rob Riggle', 'Cleo King', 'Bryan Callen', 'Matt Walsh', 'Ian Anthony Dale', 'Michael Li', 'Sondra Currie', 'Gillian Vigman', 'Nathalie Fay', 'Chuck Pacheco', 'Jesse Erwin', 'Dan Finnerty', 'Keith Lyle', 'Brody Stevens', 'Todd Phillips', 'Mike Vallely', 'James Martin Kelly', 'Murray Gershenz', 'Andrew Astor', 'Casey Margolis', 'Ken Flaherty', 'Joe Alexander', 'Constance Broge', 'Sue Pierce', 'Floyd Levine', 'Robert A. Ringler', 'Britt Barrett', 'Chauntae Davies', 'Alisa Allapach', 'Nicholas Furu', 'Angelica Flameno', 'Lily Winn', 'Katerina Moutsatsou', 'Faleolo Alailima', 'Rio Ahn', 'Joey Brander', 'John Jason Bailey', 'Cody Deal', 'Natalie Cohen', 'Carrie Keagan', 'Stephanie Mathis', 'Guile Branco', 'Richard Alan Reid', 'Tom Spano', 'Lanette Fugit Hannah', 'David Hill', 'Mitch Holleman', 'Jessica Simons', 'Anthony Mingilino', 'Michael A. Rizza', 'Charlene Geisler', 'Kaitlin Clark', 'Heather Roop', 'Joe Satriani', 'Carrot Top', 'Jaira Valenti', 'Anat Gerber', 'Victor Yerrid']","['Legendary Pictures', 'Green Hat Films', 'Warner Bros. Pictures']",https://letterboxd.com//film/the-hangover/
Night at the Museum: Battle of the Smithsonian,2009,Shawn Levy,"['Family', 'Fantasy', 'Adventure', 'Comedy', 'Action']",4,2.81,105,"['USA', 'Canada']",English,['English'],504569,22098,43949,"['Ben Stiller', 'Amy Adams', 'Owen Wilson', 'Hank Azaria', 'Robin Williams', 'Christopher Guest', 'Alain Chabat', 'Steve Coogan', 'Ricky Gervais', 'Bill Hader', 'Jon Bernthal', 'Patrick Gallagher', 'Jake Cherry', 'Rami Malek', 'Mizuo Peck', 'Kerry van der Griend', 'Matthew Harrison', 'Rick Dobran', 'Randy Lee', 'Darryl Quon', 'Gerald Wong', 'Paul Chih-Ping Cheng', 'Jay Baruchel', 'Mindy Kaling', 'Keith Powell', 'Craig Robinson', 'Samuel Patrick Chu', 'Augustus Oicle', 'Kai James', 'Clint Howard', 'Matty Finochio', 'George Foreman', 'Josh Byer', 'Sophie Levy', 'Tess Levy', 'Christina Schild', 'Robert Thurston', 'Alberta Mayne', 'Clifton MaCabe Murray', 'Caroll Spinney', 'Thomas Morley', 'Dan Joffre', 'Dave Hospes', 'Regina Taufen', 'Shawn Levy', 'Joe Jonas', 'Kevin Jonas', 'Nick Jonas', 'Eugene Levy', 'Brad Garrett', 'Ed Helms', 'Jonah Hill', 'Thomas Lennon', 'Crystal the Monkey']","['21 Laps Entertainment', '1492 Pictures', 'Dune Entertainment', 'Moving Picture Company', 'Museum Canada Productions', '20th Century Fox']",https://letterboxd.com//film/night-at-the-museum-battle-of-the-smithsonian/
Up,2009,Pete Docter,"['Animation', 'Adventure', 'Family', 'Comedy']",5,4.08,96,['USA'],English,['English'],2552784,183710,737813,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'John Ratzenberger', 'David Kaye', 'Elie Docter', 'Jeremy Leary', 'Mickie McGowan', 'Danny Mann', 'Donald Fullilove', 'Jess Harnell', 'Josh Cooley', 'Pete Docter', 'Mark Andrews', 'Bob Bergen', 'Brenda Chapman', 'Emma Coats', 'John Cygan', 'Paul Eiding', 'Tony Fucile', 'Teresa Ganzel', 'Sherry Lynn', 'Laraine Newman', 'Teddy Newton', 'Jeff Pidgeon', 'Valerie LaPointe', 'Jan Rabson', 'Bob Scott']",['Pixar'],https://letterboxd.com//film/up/
Bride Wars,2009,Gary Winick,"['Romance', 'Comedy']",3,2.81,89,['USA'],English,['English'],274387,26990,34910,"['Kate Hudson', 'Anne Hathaway', 'Bryan Greenberg', 'Chris Pratt', 'Steve Howey', 'Candice Bergen', 'Kristen Johnston', 'Michael Arden', 'Victor Slezak', 'Kelly Coffield Park', 'John Pankow', ""Zoe O'Grady"", 'Shannon Ferber', 'June Diane Raphael', 'Charles Bernard', 'Emily Sarah Stikeman', 'Robert Capron', 'Kallie Tabor', 'Bruce Altman', 'Hettienne Park', 'Lauren Bittner', 'Rena Maliszewski', 'Casey Wilson', 'Sarah Kate Jackson', 'Jason Kolotouros', 'Paul Scheer', 'André Holland', 'Anna Madigan', 'Daniel Raymont', 'Jon Daly', 'Michael Anastasia', 'Nicole Stuart', 'Robert Scott Wilson', 'Pamela Figueiredo', 'Sam Pannier', 'John Franchi', 'William Brent', 'Jeremy Brothers', 'Colin Ford']","['Fox 2000 Pictures', 'Regency Enterprises', 'New Regency Pictures', 'Biride Productions', 'Dune Entertainment', 'Dune Entertainment III']",https://letterboxd.com//film/bride-wars/
Twilight,2008,Catherine Hardwicke,"['Romance', 'Drama', 'Fantasy']",3.5,2.87,122,['USA'],English,['English'],1416662,125700,262682,"['Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Cam Gigandet', 'Ashley Greene', 'Anna Kendrick', 'Nikki Reed', 'Taylor Lautner', 'Kellan Lutz', 'Jackson Rathbone', 'Michael Welch', 'Gil Birmingham', 'Justin Chon', 'Christian Serratos', 'José Zúñiga', 'Rachelle Lefevre', 'Edi Gathegi', 'Sarah Clarke', 'Matt Bushell', 'Gregory Tyree Boyce', 'Trish Egan', 'Ayanna Berkshire', 'Ned Bellamy', 'Bryce Flint-Sommerville', 'Solomon Trimble', 'Alexander Mendeluk', 'Hunter Jackson', 'Gavin Bristol', 'Sean McGrath', 'Katie Powers', 'Catherine Grimme', 'William Joseph Elk III', 'Victoria Geil', 'Stephenie Meyer', 'Rick Mora', 'Rana Morrison', 'Edward Stiner', 'Robert Zorn', 'Humberto Amor', 'Kristopher Hyatt', 'Sherry Nelson', 'Tyler Nordby', 'Trip Ross', 'Josh Turner', 'Maggie-Jo Turner']","['Summit Entertainment', 'Temple Hill Entertainment', 'Maverick Films', 'Imprint Entertainment', 'Goldcrest', 'Twilight Productions']",https://letterboxd.com//film/twilight-2008/
Madagascar: Escape 2 Africa,2008,"Eric Darnell, Tom McGrath","['Animation', 'Family', 'Comedy', 'Adventure']",4,3.05,89,['USA'],English,"['English', 'Italian']",600172,34149,58405,"['Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith', 'Sacha Baron Cohen', 'Cedric the Entertainer', 'Andy Richter', 'Bernie Mac', 'Alec Baldwin', 'Sherri Shepherd', 'Will.i.am', 'Elisa Gabrielli', 'Tom McGrath', 'Chris Miller', 'Christopher Knights', 'Conrad Vernon', 'Quinn Dempsey Stiller', 'Declan Swift', 'Fred Tatasciore', 'Eric Darnell', 'Willow Smith', 'Thomas Stanley', 'Zachary Gordon', 'Meredith Vieira', 'Lesley Stahl', 'Al Roker', 'David Soren', 'Phil LaMarr', 'Stephen Kearin', ""Dan O'Connor"", 'Edie Mirman', 'Fergie', 'Harland Williams', 'Danny Jacobs', 'Bridget Hoffman', 'Terrence Hardy Jr.', 'Conner Rayburn', 'Holly Dorff', 'David P. Smith', 'Lynnanne Zager', 'Jackie Gonneau']","['DreamWorks Animation', 'Pacific Data Images']",https://letterboxd.com//film/madagascar-escape-2-africa/
The House Bunny,2008,Fred Wolf,"['Romance', 'Comedy']",2,2.81,97,['USA'],English,['English'],221087,22259,30892,"['Anna Faris', 'Colin Hanks', 'Emma Stone', 'Kat Dennings', 'Hugh Hefner', 'Christopher McDonald', ""Beverly D'Angelo"", 'Katharine McPhee', 'Rumer Willis', 'Kiely Williams', 'Dana Goodman', 'Kimberly Makkouk', 'Monet Mazur', 'Tyson Ritter', 'Sarah Wright', 'Rachel Specter', 'Owen Benjamin', 'Holly Madison', 'Bridget Marquardt', 'Kendra Wilkinson', 'Tyler Spindel', 'Sara Jean Underwood', 'Lauren Michelle Hill', 'Hiromi Oshima', 'Dan Patrick', 'Sean Salisbury', 'Matt Leinart', ""Shaquille O'Neal"", 'Nick Swardson', 'Jay Hayden', 'Danni Katz', 'Matt Barr', 'Chris Titone', 'Michael Bernardi', 'Mike Falkow', 'Marlon Hunter', 'Josh Richman', 'Tony Ervolina', 'Tanner Alexander Redman', 'Michelle Fields', 'Nikki DeLoach', 'Linsey Godfrey', 'Alison Coen', 'Jackie Benoit', 'Katheryn Cain', 'Amanda Columbus', 'Katheryne Ashley Covert', 'Aya Nagasaki', 'Rachel Saydak', 'Ashley Schneider', 'Jennifer Tisdale', 'Adam Shapiro', 'Angela Shelton', 'Julia Lea Wolov', 'Jonathan Loughran', 'Kathleen Gati', 'Missy Stewart', 'Robert Harvey', 'Ryan Rottman', 'Mitch Gibney', 'Ben Lyons', 'Dale Thomas Cizmadia', 'Charles Robinson', 'Emily Wilson', 'Allen Covert']","['Alta Loma Entertainment', 'Columbia Pictures', 'Relativity Media', 'Happy Madison Productions']",https://letterboxd.com//film/the-house-bunny/
WALL·E,2008,Andrew Stanton,"['Animation', 'Science Fiction', 'Family']",4,4.19,98,['USA'],English,['English'],2296803,208363,722734,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver', 'Teddy Newton', 'Bob Bergen', 'John Cygan', 'Pete Docter', 'Paul Eiding', 'Donald Fullilove', 'Teresa Ganzel', 'Mickie McGowan', 'Laraine Newman', 'Lori Alan', 'Jeff Pidgeon', 'Jan Rabson', 'Lori Richardson', 'Andrew Stanton', 'Jim Ward', 'Colette Whitaker', 'Kim Kopf', 'Angus MacLane', 'Niki McElroy', 'Garrett Palmer', 'Sherry Lynn', 'Jess Harnell']","['Pixar', 'Walt Disney Pictures']",https://letterboxd.com//film/walle/
The Boy in the Striped Pyjamas,2008,Mark Herman,"['War', 'History', 'Drama']",4.5,3.61,94,"['UK', 'USA']",English,['English'],628406,36282,97685,"['Asa Butterfield', 'Jack Scanlon', 'Vera Farmiga', 'David Thewlis', 'Rupert Friend', 'David Hayman', 'Sheila Hancock', 'Cara Horgan', 'Richard Johnson', 'Amber Beattie', ""Zac Mattoon O'Brien"", 'Charlie Baker', 'Jim Norton', 'Domonkos Németh', 'Henry Kingsmill', 'Zsuzsa Holl', 'László Áron', 'Iván Verebély', 'Béla Fesztbaum', 'Mihály Szabados', 'Zsolt Sáfár Kovács', 'Gábor Harsai', 'Julia Papp', 'László Nádasi', 'László Quitt']","['BBC Film', 'Miramax', 'Heyday Films']",https://letterboxd.com//film/the-boy-in-the-striped-pyjamas/
